id,name,powerPlayPercentage,powerplayspergame,penaltyKillPercentage,shotsPerGame,shotsAllowed,savePctg,shootingPctg,faceOffWinPercentage
1,New Jersey Devils,12.9,2.9523809523809526,65.1,29.8571,30.9048,0.901,8.1,44.7
2,New York Islanders,22.7,2.64,83.3,30.08,27.36,0.92,9.7,52.5
3,New York Rangers,15.5,3.652173913043478,87.0,29.4783,29.3043,0.908,9.6,44.4
4,Philadelphia Flyers,17.9,3.5454545454545454,72.2,27.3182,31.2727,0.903,11.8,53.4
5,Pittsburgh Penguins,16.9,2.9583333333333335,74.0,28.7917,29.25,0.893,10.7,49.0
6,Boston Bruins,24.2,2.8181818181818183,89.2,31.5455,26.2727,0.908,9.1,56.2
7,Buffalo Sabres,29.7,2.782608695652174,82.3,28.7391,30.8696,0.896,7.6,51.9
8,Montréal Canadiens,22.7,2.75,77.5,33.4167,28.875,0.906,9.9,47.2
9,Ottawa Senators,14.4,3.4642857142857144,74.7,31.9643,31.6786,0.878,8.3,48.2
10,Toronto Maple Leafs,31.2,3.076923076923077,77.3,30.1538,28.6923,0.916,11.5,51.8
12,Carolina Hurricanes,29.5,3.25,81.2,31.4583,29.2917,0.909,10.7,53.9
13,Florida Panthers,24.7,3.0416666666666665,77.1,34.0833,30.6667,0.908,9.7,48.0
14,Tampa Bay Lightning,28.8,3.4782608695652173,87.7,30.3043,28.1739,0.927,11.9,49.1
15,Washington Capitals,26.2,2.5416666666666665,82.0,28.875,29.6667,0.896,11.1,48.3
16,Chicago Blackhawks,31.2,2.9615384615384617,72.5,30.5,34.4231,0.913,10.1,47.4
17,Detroit Red Wings,10.7,2.8846153846153846,69.9,28.4231,30.6538,0.891,7.3,52.9
18,Nashville Predators,20.2,3.36,70.2,31.72,29.92,0.89,7.4,52.5
19,St. Louis Blues,19.0,3.0384615384615383,73.6,29.9231,29.5769,0.896,10.5,53.4
20,Calgary Flames,21.1,3.6538461538461537,79.8,29.7308,30.8462,0.901,9.1,50.1
21,Colorado Avalanche,23.6,3.869565217391304,85.5,32.7826,25.6522,0.902,9.3,52.9
22,Edmonton Oilers,25.6,3.3333333333333335,76.5,31.0,31.963,0.905,10.3,50.6
23,Vancouver Canucks,19.6,3.1724137931034484,80.4,31.0,32.931,0.902,9.0,52.8
24,Anaheim Ducks,13.3,2.3076923076923075,79.5,27.2692,29.0385,0.895,8.5,51.0
25,Dallas Stars,25.7,3.7,78.4,28.0,28.1,0.909,10.0,50.1
26,Los Angeles Kings,26.4,3.625,82.2,28.875,30.5833,0.905,10.4,50.5
28,San Jose Sharks,18.3,3.0869565217391304,78.3,29.9565,32.1304,0.882,9.0,46.9
29,Columbus Blue Jackets,16.2,2.6153846153846154,74.2,28.5,31.0385,0.897,9.2,45.8
30,Minnesota Wild,6.8,3.217391304347826,84.0,30.4783,29.1739,0.911,10.1,46.4
52,Winnipeg Jets,23.6,3.0,77.0,29.7083,31.5417,0.91,11.1,48.8
53,Arizona Coyotes,21.2,3.4,82.3,26.0,30.92,0.906,10.2,48.3
54,Vegas Golden Knights,17.4,3.1363636363636362,88.1,29.9545,27.3636,0.924,10.6,50.6
